Type,ID,Points,Question,Correct Answer,Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6,Choice 7,Choice 8,Choice 9,Choice 10,Explanation
MC,634956,"","
<p>The following Python method determines whether or not a list of values, passed in as a parameter, has any duplicate values.</p>
<p>What is the Big-Oh running time of this algorithm?</p>
<p>def duplicates(lov):</p>
<p>&nbsp; &nbsp; dupCount = 0<br>&nbsp; &nbsp; outer = 0<br>&nbsp; &nbsp; while (outer &lt; len(lov)):<br>&nbsp; &nbsp; &nbsp; &nbsp; inner = outer + 1<br>&nbsp; &nbsp; &nbsp; &nbsp; while (inner &lt; len(lov)):</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; if (lov[inner] == lov[outer]):</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; dupCount = dupCount + 1</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; inner = inner + 1</p>
<p>&nbsp; &nbsp; &nbsp; &nbsp; outer = outer + 1</p>
<p>&nbsp; &nbsp; if (dupCount == 0):<br>&nbsp; &nbsp; &nbsp; &nbsp; print ""there are no duplicate values""<br>&nbsp; &nbsp; else:<br>&nbsp; &nbsp; &nbsp; &nbsp; print ""there are "", dupCount, "" duplicate values""</p>
",D,<p>O(1)&nbsp;</p>,<p>O(n)</p>,<p>O(n log<sub>2</sub> n)</p>,<p>O(n<sup>2</sup>)</p>,<p>O(n<sup>3</sup>)</p>,"","","","","","<p>Each item in the list is compared against each other item in the list: a classic example of the<em> all-pairs</em> programming pattern. &nbsp;The first item is compared against n-1 other values. &nbsp;The second item is compared against n-2 other values, etc. &nbsp;The total number of comparisons is&nbsp; <img src=""img/2.png"" alt="""" title=""latex""></p>"
MC,633227,"","
<p>What is printed when the following program runs?</p>
<pre lang=""text/x-java"">public class Main {
  public static boolean getTrue() {
    System.out.print(""T"");
    return true;
  }

  public static boolean getFalse() {
    System.out.print(""F"");
    return false;
  }

  public static void main(String[] args) {
    getTrue() || getTrue();
  }
}
</pre>
",B,<p>TT</p>,<p>T</p>,<p>F</p>,<p>TF</p>,<p>Nothing is printed.</p>,"","","","","","<p>If the first operand for || is true, as is the case here, the second is not evaluated.</p>"
MC,633298,"","<p>You are storing a complete binary tree in an array, with the root at index 0. At what index is node i's parent?</p>",E,<p>2i</p>,<p>2i + 1</p>,<p>i + i + 2</p>,<p>i / 2 + 1</p>,<p>(i - 1) / 2</p>,"","","","","",<p>(i - 1) / 2</p>
MC,634959,"",<p>Which of the following abstract datatypes would be the best choice for part of the implementation of&nbsp;the part of a compiler that determines whether the parentheses in a program are balanced?</p>,A,<p>A Stack</p>,<p>A Queue</p>,<p>A List</p>,<p>A PriorityQueue</p>,<p>A Dictionary</p>,"","","","","","<p>A close parenthesis must match the most recently entered open parenthesis. So for example, the sequence )()( &nbsp;doesn't match, while ()() and (()) do, even though they all have two open and two close parentheses. To make this work, you can push each open parenthesis on a Stack, and pop it off each time you see a close parenthesis. The last-in-first-out nature of a Stack makes it easy to determine whether the parentheses are balanced.</p>"
MC,634960,"","
<p><img src=""img/3.png"" alt=""no description""></p>
<p>Given the above binary tree rooted at Node A, what is the order of nodes visited by an inorder search?</p>
",C,"<p>A, B, C, D, E, F, G</p>","<p>A, B, D, E, C, F, G</p>","<p>D, B, E, A, F, C, G</p>","<p>D, E, B, F, G, C, A</p>","<p>G, F, E, D, C, B, A</p>","","","","","","
<p>An inorder search of a binary tree is: visit the left subtree, visit the root, visit the right subtree.</p>
<p>It procedes as</p>
<p>Visit left subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; Visit its left subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Visit D</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; Visit B (its root)</p>
<p>&nbsp; &nbsp;&nbsp; Visit its right subtree:&nbsp;</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Visit E&nbsp;&nbsp;&nbsp;</p>
<p>Visit A (the root)</p>
<p>Visit right subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; Visit its left subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Visit F</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; Visit C (its root)</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; Visit its right subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Visit G</p>
"
MC,633228,"","
<p>What is printed when the following program runs?</p>
<pre lang=""text/x-java"">public class Main {
  public static boolean getTrue() {
    System.out.print(""T"");
    return true;
  }

  public static boolean getFalse() {
    System.out.print(""F"");
    return false;
  }

  public static void main(String[] args) {
    getTrue() || getFalse();
  }
}
</pre>
",C,<p>TF</p>,<p>F</p>,<p>T</p>,<p>TT</p>,<p>Nothing is printed</p>,"","","","","","<p>If the first operand for || is true, as is the case here, the second is not evaluated.</p>"
MC,633895,"","<p>Kexin is hashing the values 9, 45, 22, 48, 38 into a hash table of size 20. Which hash function will give her no collisions?</p>",D,<p>h(k) = k % 10</p>,<p>h(k) = k / 10</p>,<p>h(k) = (k % 10) + (k / 10)</p>,<p>h(k) = (k % 10) - (k / 10)</p>,,"","","","","",<p>A will collide on the 48/38; B will collide with 45/48; C will collide with 9/45.</p>
MC,634955,"","
<p><img src=""img/4.png"" alt=""no description""></p>
<p>Given the above binary tree rooted at Node A, what is the order of nodes visited by a postorder search?</p>
",D,"<p>A, B, C, D, E, F, G</p>","<p>A, B, D, E, C, F, G</p>","<p>D, B, E, A, F, C, G</p>","<p>D, E, B, F, G, C, A</p>","<p>G, F, E, D, C, B, A</p>","","","","","","
<p>A postorder search of a tree is: visit the left subtree, visit the right subtree, visit the root</p>
<p>It procedes as</p>
<p>Visit left subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; Visit its left subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Visit D</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; Visit its right subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Visit E</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; Visit B (its root)</p>
<p>Visit right subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; Visit its left subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Visit F</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; Visit its right subtree:</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Visit G</p>
<p>&nbsp;&nbsp;&nbsp;&nbsp; Visit C (its root)</p>
<p>Visit A (the root)</p>
<p>The order of nodes visited corresponds to answer D</p>
"
MC,633618,"","
<p>True or False:</p>
<p>Breadth-first search (BFS) and Depth-first search (DFS) visit nodes of a graph in the same order only if the graph looks like a linear chain, or linked list, and the traversal starts at one of the ends.</p>
<p>For example, BFS and DFS starting at node A are the same for the following graph:</p>
<p>A &lt;-&gt; B &lt;-&gt; C</p>
",B,<p>True</p>,<p>False</p>,,,,"","","","","","<p>We could add any number of nodes to node B, and visit nodes in the same order starting at node A and node B.</p>"
MC,634944,"",<p>For the Insertion sort algorithm; what is its best case and worst case performance?</p>,A,"
<p>Best: O(n)</p>
<p>Worst: O(n<sup>2</sup>)</p>
",<p>Best: O(n)<br>Worst: O(n)</p>,<p>Best: O(log<sub>2</sub> n)<br>Worst: O(n<sup>2</sup>)</p>,<p>Best: O(n<sup>2</sup>)<br>Worst: O(n<sup>2</sup>)</p>,<p>None of the above.</p>,"","","","","","<p>Insertion sort, if given an already sorted list, will still perform O(n) comparisons to ascertain the list is sorted. &nbsp;If the list is ""reverse sorted,"" &nbsp;then the &nbsp;first pass will require 1 exchange. &nbsp;The second pass will require 2 exchanges, etc. &nbsp;Hence, in the worst case, O(n<sup>2</sup>) exchanges.</p>"
MC,634947,"",<p>For the selection sort algorithm; what is its best case and worst case running time?</p>,D,<p>Best: O(1)<br>Worst: O(n)</p>,<p>Best: O(n)<br>Worst: O(n<sup>2</sup>)</p>,<p>Best:&nbsp;O(log<sub>2</sub> n)<br>Worst:&nbsp;O(n)</p>,"
<p>Best: O(n<sup>2</sup>)</p>
<p>Worst: O(n<sup>2</sup>)</p>
",<p>None of the above.</p>,"","","","","","<p>Selection sort repeatedly runs the Find-largest algorithm as its helper function. &nbsp;So, regardless of the list's initial ordering, Find-largest will cost n-1 comparisons for the first pass, n-2 for the second, etc. &nbsp;Hence selection sort's run time performence is independent of the list's initial ordering: O(n<sup>2</sup>)</p>"
MC,633400,"",<p>You see the expression <code>n = 100000</code> in some code that successfully compiles. What type can <code>n</code> not be?</p>,B,<p>int</p>,<p>short</p>,<p>float</p>,<p>double</p>,<p>long</p>,"","","","","","<p>Shorts can only hold values in [-32768, 32767].</p>"
MC,633397,"","<p>Suppose you try to perform a binary search on the unsorted array {1, 4, 3, 7, 15, 9, 24}. Which element will not be found when you try searching for it?</p>",D,<p>7</p>,<p>1</p>,<p>9</p>,<p>15</p>,<p>24</p>,"","","","","","<p>The answer is 15. The first check will look at 7. 15 is greater than 7, so we search to its right. The second check will look at 9. 15 is greater than 9, so we search to its right. The third check will look at 24. 15 is less than 24, so we look to its left. However, our range has just been inverted and our searching stops, not having found 15.</p>"
MC,634952,"","
<p><img src=""img/5.png"" alt=""no description""></p>
<p>Given the above binary tree rooted at Node A, what is the order of nodes visited by a breadth-first traversal?</p>
",A,"<p>A, B, C, D, E, F, G</p>","<p>A, B, D, E, C, F, G</p>","<p>D, B, E, A, F, C, G</p>","<p>D, E, B, F, G, C, A</p>","<p>G, F, E, D, C, B, A</p>","","","","","","
<p>A breadth-first traversal procedes by levels --&nbsp; the root, then all of the nodes that are children of the root, then all of the nodes that are grandchildren of the root, etc.</p>
<p>In this case we get:</p>
<p>Visit A (the root)</p>
<p>Visit B, C (children of the root)</p>
<p>Visit D, E, F, G (grandchildren of the root)</p>
<p>This corresponds to answer A.</p>
"
MC,632111,"","
<p>What node will be in a same rank (position) if the following tree is traversed by preorder, postorder and inorder algorithm?<img src=""img/6.gif"" alt=""no description""></p>
",C,<p>A</p>,<p>B</p>,<p>C</p>,<p>D</p>,,"","","","","",<p>C</p>
MC,634167,"","
<p>Fill in the single missing line of code:<br><code>int p, *r, **q;</code></p>
<pre lang=""text/x-c"">p = 27;
r = &amp;p;
</pre>
<p>// MISSING LINE<br><code>printf(""The value is %d"", **q); // prints 27.</code></p>
",B,<p>*q = *r;</p>,<p>q = &amp;r;</p>,<p>**q = p;</p>,<p>q = &amp;&amp;p;</p>,<p>*q = *p;</p>,"","","","","","<p>B gets q to point to r, which points to p.</p>"
MC,632105,"",<p>What would be the performance of removeMin and insert methods in a priority queue if it is implemented by a sorted list?</p>,B,"<p>O(1) , O(1)</p>","<p>O(1) , O(n)</p>","<p>O(n) , O(1)</p>","<p>O(n) , O(n)</p>",,"","","","","","<p>O(n) , O(1)</p>"
MC,632090,"","
<p>What is the value of j after this code is executed?</p>
<p>int i = 6, j = 10;</p>
<p>j += i;</p>
",D,<p>4</p>,<p>6</p>,<p>10</p>,<p>16</p>,<p>&nbsp;Undefined</p>,"","","","","",<p>The value of variable i (6) is added to that of variable&nbsp; j (10) resulting in 16 as the&nbsp; new value of j</p>
MC,635019,"","
<p>Suppose q is an instance of a queue that can store Strings, and I execute the following statements starting with q empty:</p>
<pre lang=""text/x-java"">1. q.enqueue(""Sweden"");
2. q.enqueue(""is"");
3. q.enqueue(""my"");
4. String w = q.dequeue();
5. String x = q.peek();
6. q.enqueue(""neighbor"");
7. String y = q.dequeue();
8. String z = q.dequeue();
</pre>
<p>&nbsp;</p>
<p>What is the value of z after executing these expressions in order?</p>
",C,"<code>""Sweden""</code>","<code>""is""</code>","<code>""my""</code>","<code>""neighbor""</code>",<p>None of the above</p>,"","","","","","
<p>If we consider the contents of the queue after each expression (listing contents from head to tail), we have</p>
<p>1. [""Sweden""]</p>
<p>2. [""Sweden"" ""is""]</p>
<p>3. [""Sweden"" ""is"" ""my""]</p>
<p>4. [""is"" ""my""]&nbsp; (and w gets set to ""Sweden"")</p>
<p>5. [""is"" ""my""]&nbsp; (and x gets set to ""is"")</p>
<p>6. [""is"" ""my"" ""neighbor""]</p>
<p>7. [""my"" ""neighbor""] (and y gets set to ""is"")</p>
<p>8. [ ""neighbor""]&nbsp; (and z gets set to ""my"")</p>
"
MC,634151,"",<p>Which of the following parts of a process&rsquo; memory is the largest?</p>,C,<p>The code area</p>,<p>The globals area</p>,<p>The heap</p>,<p>The stack</p>,,"","","","","",<p>Heap is the largest.</p>
MC,634145,"",<p>Prim&rsquo;s Algorithm is used to solve what problem?</p>,B,<p>Finding the lowest parent of a heap</p>,<p>Minimum spanning tree</p>,<p>Shortest path in a graph from a source</p>,<p>Sorting integers</p>,,"","","","","",<p>Prim's is used for MST.</p>
MC,633268,"","
<p>Suppose you have a tree with a maximum depth of d and an average branching factor of b (i.e. each node has b children). You are searching for a particular node S located at depth m (m &lt;= d). You don't know where the node S is located, just that it is at depth m.</p>
<p>What is an upper bound on the <em>space</em> complexity of breadth-first search (i.e. big-O notation) to find the node S starting from the root?</p>
",B,<p>O(d * b)</p>,<p>O(b<sup>d</sup>)</p>,<p>O(d<sup>b</sup>)</p>,<p>O(b * m)</p>,<p>O(b<sup>m</sup>)</p>,"","","","","","
<p>In the worst case, we need to store all of the nodes, because the very last node we check at the maximum depth will be S.&nbsp; The deepest nodes of the graph will have O(b<sup>d</sup>) nodes, and in the worst case we would need to store all of these nodes.</p>
<p><img src=""img/7.png"" alt="""" width=""579"" height=""436""></p>
"
MC,630945,"",<p>Which of the following abstract datatypes would be the best choice for part of the implementation of the back button on a Web browser?</p>,A,<p>a Stack&nbsp;</p>,<p>a Queue</p>,<p>a Priority Queue&nbsp;</p>,<p>a List&nbsp;</p>,<p>a Dictionary</p>,"","","","","","<p>When you click on the back button, you should see the last page you visited, so the datatype that stores the previously visited webpages must be last-in-first-out. Of the abstract datatypes listed, Stack is the only one that is last-in-first-out.</p>"
MC,630947,"",<p>Which of the following abstract datatypes would be the best choice for part of the implementation of&nbsp;a program modeling the arrival of patients to an emergency room in a hospital?</p>,D,<p>a Stack</p>,<p>a Queue</p>,<p>A List</p>,<p>a PriorityQueue</p>,<p>a Dictionary</p>,"","","","","","<p>In an emergency room, you want to serve patients in the order of how urgent their condition is, and if two patients have equally urgent conditions, in the order that they arrived. A PriorityQueue is the only abstract datatype listed that meets both of these conditions.&nbsp;</p>"
MC,633266,"",<p>Two algorithms accomplish the same task on a collection of N items. Algorithm A performs N/2 operations. Algorithm B performs N log N operations. Under what conditions does algorithm A offer better performance?</p>,D,<p>N &lt;= 4</p>,<p>N &gt; 8</p>,<p>N &gt; 2</p>,<p>For all N.</p>,<p>For no N.</p>,"","","","","","<p>For all legal collection sizes, N/2 &lt; N log N.</p>"
MC,633260,"",<p>When is an adjacency matrix a good choice for implementing a graph?</p>,B,<p>When the graph is undirected.</p>,<p>When the graph is nearly complete.</p>,<p>When a graph has few edges.</p>,<p>When the graph contains no cycles.</p>,<p>When the graph is connected.</p>,"","","","","","<p>The adjacency matrix will compactly and efficiently store edges when it contains little wasted space. In a complete graph, each vertex shares an edge with each other vertex, meaning all elements in the adjacency matrix will be used.</p>"
MC,634147,"",<p>What is true about the pivot in quicksort?</p>,C,"<p>Before partitioning, it is always the smallest element in the list</p>","<p>After partitioning, the pivot will always be in the centre of the list</p>","<p>After partitioning, the pivot will never move again</p>","<p>A random choice of pivot is always the optimal choice, regardless of input</p>",,"","","","","","<p>As the pivot will be to the right of all smaller elements and to the left of all larger elements, it is in the same position it will be when the array is sorted.</p>"
MC,633259,"",<p>When is an adjacency list a good choice for implementing a graph?</p>,C,<p>When the graph is undirected.</p>,<p>When the graph is nearly complete.</p>,<p>When a graph has few edges.</p>,<p>When the graph contains no cycles.</p>,<p>When the graph is connected.</p>,"","","","","","<p>With adjacency lists are used, each vertex stores its own list of vertices it's connected to. When a graph contains few edges, these lists will be very short and will likely consume less memory than the adjacency matrix.</p>"
MC,633257,"","<p>You've got an algorithm that is O(N<sup>2</sup>). On the first run, you feed it a collection of size M. On the second run, you feed it a collection of size M / 2. Assuming each run has worst-case performance, how much time does the second run take?<span style=""font-size: small;""><br></span></p>",A,<p>1/4 of the first</p>,<p>1/2 of the first</p>,<p>2/3 of the first</p>,<p>3/4 of the first</p>,<p>1/8 of the first</p>,"","","","","","<p>The first run took time proportional to M<sup>2</sup>. The second run took (M/2)<sup>2</sup>, or M<sup>2</sup>/4. The second run is 1/4 of the first.</p>"
MC,633245,"",<p>Two algorithms accomplish the same task on a collection of N items. Algorithm A performs N<sup>2</sup> operations. Algorithm B performs 10N operations. Under what conditions does algorithm A offer better performance?</p>,A,<p>N &lt; 10</p>,<p>N &lt; 100</p>,<p>N &gt; 10</p>,<p>For all N.</p>,<p>For no N.</p>,"","","","","","<p>The two algorithms offer equal performance when N = 10. For N greater than 10, N<sup>2</sup> &gt; 10N.</p>"
MC,635006,"","
<pre lang=""text/x-java"">1.  public BallPanel extends javax.swing.JPanel {
2.     private Ball[] _balls;
3.     public BallPanel(int numberOfBalls){
4.        ??????
5.        for (int i=0;i&lt;_balls.length;i++)
6.           _balls[i] = new Ball();
7.     }
8.  }
</pre>
<p>&nbsp;</p>
<p>We need to add something at line 4 above to avoid an error in line 5.&nbsp; Which of the following line 4 expressions fix the error in line 5?</p>
",C,<code>super();</code>,<code>_balls.setLength(numberOfBalls);</code>,<code>_balls = new Ball[numberOfBalls];</code>,<p>&nbsp;<code>_balls.length = numberOfBalls;</code></p>,"<p>B, C, and D all work.</p>","","","","","","
<p>The problem with line 5 (without adding line 4) is that _balls is declared, but not instantiated as an array, so _balls is null.&nbsp;&nbsp; The code compiles fine (assuming you have a class Ball that has a constructor with no parameters), but will crash at run time if you instantiate a BallPanel.</p>
<p>B and D wouldn't help: B would crash at run time for the same reason as 5, and D gives a compile-time error since length is not directly settable for a Java array.&nbsp;&nbsp; A would work, but would have no effect on the problem.</p>
"
MC,633279,"","
<p>Which of the following makes an appropriate pre-condition for this code?<br>double calculate_percentage(double sum, double n)<br><code>{</code></p>
<pre lang=""text/x-c"">    // calculates and returns a percentage given a sum and a length (n)
    // &lt;missing pre-condition&gt;
    // POST: none
    return (sum / n) * 100;
}
</pre>
",B,<p>PRE: sum &lt; 100</p>,<p>PRE: n != 0</p>,<p>PRE: sum != NULL and n != NULL</p>,<p>PRE: none</p>,,"","","","","","<p>The code will faill if n = 0, as it will divide by 0.</p>"
MC,629623,"","
<p>Consider writing a program to be used by a farm to keep track of information about the fruits and vegetables they sell. For each sale, they would like to keep track of the type of item (eggplant, tomato, etc.), the quantity sold, the price, and the market at which the sale was made. Which of the following is the best way to represent the information?</p>
",A,"<p>Define one class, <code>FarmSale</code>, with four fields: <code>type<span style=""font-family: arial, helvetica, sans-serif;"">,</span></code> quantity<span style=""font-family: arial, helvetica, sans-serif;"">, price<span style=""font-family: arial, helvetica, sans-serif;"">, and market.</span></span></p>","<p>Define one superclass, <code>FarmSale</code>, with four subclasses: <code>Type</code>, <code>Quantity</code>, <code>Price</code>, and <code>Market</code>.</p>","<p>Define five unrelated classes: <code>FarmSale</code>, <code>Type</code>, <code>Quantity</code>, <code>Price</code>, and <code>Market</code>.</p>","<p>Define five classes: <code>FarmSale</code>, <code>Type</code>, <code>Quantity</code>, <code>Price</code>, and <code>Market</code>.. Make <code>Market</code> a subclass of <code>Price</code>, make <code>Price</code> a subclass of <code>Quantity</code>, make <code>Quantity</code> a subclass of <code>Type</code>, and make <code>Type</code> a subclass of <code>FarmSale</code>.</p>","<p>Define five classes: <code>FarmSale</code>, <code>Type</code>, <code>Quantity</code>, <code>Price</code>, and <code>Market</code>. Make <code>FarmSale</code> a subclass of <code>Type</code>, make <code>Type</code> a subclass of <code>Quantity</code>, make <code>Quantity</code> a subclass of <code>Price</code>, and make <code>Price</code> a subclass of <code>Market</code>.</p>","","","","","","
<p>Which classes you define depends generally on the needs of the software. It might be good to have <code>Market</code> be a class of its own, with the address of the market, contact information for the organizers, etc. The item type might be modeled with a&nbsp;<code>Product</code>&nbsp;class, with information about the date it was planted, for example.</p>
<p>But of the choices given, A is the best. We can rule out choices B, C, D, and E because price and quantity don't need data and associated methods of their own and are most appropriately modeled as fields in the <code>FarmSale</code> class. That leaves A.</p>
"
MC,629642,"","
<p><img src=""img/8.png"" alt=""no description""></p>
<p>The word <code>abstract</code> in the class box for <code>Vehicle</code> means:</p>
",D,<p><code>Vehicle</code> is the top level of the hierarchy </p>,<p>Objects of type <code>Vehicle</code> can not be instantiated</p>,<p>All concrete subclasses of <code>Vehicle</code> must implement or inherit all of <code>Vehicle</code>&rsquo;s <code>abstract</code> methods</p>,<p>Both B and C are true</p>,<p>All of the above</p>,"","","","","","<p>An object cannot be <em>directly</em> instantiated from an abstract class, i.e.&nbsp; <code>Vehicle v = new Vehicle();</code> is not legit, so B is true.&nbsp; It is also true that every concrete (non-abstract) subclass of Vehicle must implement or inherit all of the methods defined as abstract in <code>Vehicle</code>.&nbsp; So D is the answer.</p>"
