Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Explanation,Author
"Given the tree: 16 / \ 9 19 / \ / \ 2 10 17 24 /1The nodes looked at are in the order:1, 2, 10, 9, 17, 24, 19, 16What kind of traversal does this describe?
","Pre-order Traversal
","Level Order Traversal
","In-order Traversal
","Post-Order Traversal
",,"Pre-order traversal: 16, 9, 2, 1, 10, 19, 17, 24Level-order Traversal: 16, 9, 19, 2, 10, 17, 24, 1In-order Traversal: 1, 2, 9, 10, 16, 17, 19, 24Post-order Traversal: 1, 2, 10, 9, 17, 24, 19, 16
",
"What is ""big O"" of heapify?
","O(n^2)
","O(n)
","O(logn)
","O(nlogn)
",,"Lecture 5b Slide 9
",
"Alice is organising a dinner party between a few close friends at her workplace. She is trying to figure out the seating plan and working on sending the invites. Most of the invitees know each other, so the number of friendships is larger than the number of invitees. Alice thinks a graph would help her figure out the seating plan where all the invitees are vertices and friendships of each person are edges.Alice also wants to store names along with employee ID numbers, which are 5 digit numbers, in order to send out email invites for the party.Which data structures are most suitable for each of these uses?
","Adjacency list for the seating plan, skip list for the invites.
","Adjacency matrix for the seating plan, linked list for the invites.
","Adjacency matrix for the seating plan, open hash table for the invites.
","Adjacency list for the seating plan, closed hash table for the invites.
","Adjacency list for the seating plan, open hash table for the invites.
","An adjacency matrix is the most suitable data structure for the seating plan, as the matrix will be dense (many edges compared to vertices). See 2019 Lecture 17 on Graphs, slide 17.An open hash table is the most suitable data structure for the invites, as it stores both the data and a key, which in this case is the employee ID number. See 2019 Week10b slides.
",
"Define the load of a hash table.
","The �load� of a hash table is how heavy it is.
","The �load� of a hash table is how many elements(�keys�) it contains.
","The �load� of a hash table is the maximum number of values (�keys�) you intend to adddivided by number of buckets in the array.
","The �load� of a hash table is the maximum number of values (�keys�) you intend to addplus the number of buckets in the array.
",,"Week 10b Slide 30
",
"What is the time complexity of this algorithm: 5n3+ 100n2+ 0.1n3.5 + 1000n?
","O(n3)
","O(n2)
","O(n3.5)
","O(1000n)
",,"The bigger function dominates during addition as of the week2b slides.
",
"What are the features of asymptotic complexity?
","Describes rate of growth of a function based of the data set size n.
","Considers large data sets size n.
","Approximates complexity by taking the largest n term.
","All of the above.
",,"Asymptotic behaviour is the limiting behaviour of the execution time of an algorithm, when the size of the data set goes to infinity (large n). Usually denoted in big-O Notation that is calculated by considering the largest n term.
",
"Big Theta Complexity Equation:
","
","
","
","gs: Complexity
",,,"eb2006 (eb2006)
"
"Which Array List operation has the same best, average and worst case runtime complexity?
","get(i)
","add(o)
","remove(i)
","insert(o, i)
",,"get(i): best, average and worst case O(1)add(o): best and worst case O(1) and average case (n)remove(i): best case O(1), average and worst case O(n)inset(o, i):best case O(1), average and worst case O(n)
",
"What is the worst case run time when trying to find an element in an AVL tree that consists of m * 2n elements ?
","T(m) + T(n)
","T(log n) + T(m)
","T(log m) + T(n)
","T(log m) + T(log n)
","T(log (mn))
","T(log n), where n is the number of elements, is the time taken to search an AVL tree. Given that the number of elements ism * 2n, the complexity becomesT(log (m * 2n)) =T(log m) + T(log (2n)) =T(log m) + T(n log(2)) =T(log m) +T(n).
",
"Which of the following best describes the run time of this algorithm:for(int i = 0; i<N; i++){ int j = -1; while(j<i){ System.out.println(""Good luck in your exams""); j++; } for(k=0; k<T; k++){ System.out.println(""You'll smash them!""); }}
","T(N2+ NT)
","T(N2 log(N))
","T(N2 + T2)
","T((NT)2)
","T(NT)
","The outer for loop will loop N times. Within this, the while loop will run up to N times, and the for loop will run T times.So the complexity isT(N(N+T)) =T(N2 + NT).
",
"Consider a closed hashtable H with linear probing. Suppose we want to store up to 900 items in H, and we want theaverageamount of steps to find any item to be less than 2.By considering the loadL, what is the smallest (whole) number of buckets H can have?
","1200
","1250
","1300
","1350
","1400
","First we calculate the loadL by using the formula for closed hashmaps with linear probing; average number of steps = 0.5 * (1 + 1/(1 - L)). Since we want the average number of steps to be less than 2, we pick 2 equal to average number of steps to give 1 + 1(1 -L) = 4, orL = 2/3. Therefore sinceL is equal to the total intended items over the amount of buckets B, 900 = 2/3 *B. If B is any smaller than this thenL must be greater and we do not have the desired step efficiency, so we want the smallest integer bigger than or equal to theB this formula gives us. Luckily, from this we getB = 1350, so this is our answer.Source of idea: Week10b-Hashtable Slide 31
",
"There are many methods to consider when designing an algorithm. Please select the option that is not a proper design technique.
","Brute Force
","Static Programming
","Divide and Conquer
","Greedy Algorithms
",,"DynamicProgramming is an actual design technique but Static Programming is not, hence it is the correct answer to this question.
","tu241 (tu241)
"
"There are many methods to consider when designing an algorithm. Please select the option that is not a proper design technique.
","Brute Force
","Static Programming
","Divide and Conquer
","Greedy Algorithms
",,"DynamicProgramming is an actual design technique but Static Programming is not, hence it is the correct answer to this question.
","tu241 (tu241)
"
"What is the complexity of the following algorithm?for(int i=0;i<n;i++) for (int j=0;j<i;j++) return i+j; }}
","
","
","
","
",,"The operation print i+j is done 1+2+3+....+n times so total cost is: So the algorithm is
",
"Of the following sorting algorithms, which one has equivalent Best, Worst and Average time complexitiesandis not unstable?(For example, Selection Sort has a Best, Worst and Average time complexity of n^2. It is also stable, and thus would be a correct answer if it were there.)
","Quick Sort.
","Merge Sort.
","Bubble Sort.
","Insertion Sort.
","None of the above.
","(Information obtained from 2019 Lecture 7a, slide 5)Algorithm time complexities in order: Best, Average, Worst.Quick: nlogn , nlogn , n^2 (Quick Sort is the only unstable algorithm here so can be instantly ruled out, the rest are stable.)Merge: nlogn , nlogn, nlognBubble: n , n^2 , n^2Insertion: n , n^2 , n^2From these options, Merge Sort is the correct answer as it is the only stable algorithm with all 3 cases having the same time complexity (namely nlogn).
",
"Of the following processes, which data structure (Singly Linked Lists or Arrays) can complete the following tasks described faster:Task 1: Getting to the 1000th item in the data structure.Task 2: Inserting a new item at the front of the data structure.Task 2: Removing an item from the middle of the data structure.Example: An answer of [LL : A : LL] would imply that the Linked List performed task 1 fastest, the Array performed task 2 fastest, and the Linked List performed task 3 fastest.(Not the correct answer).
","[A : A : LL]
","[LL : LL : LL]
","[LL : A : A]
","[A : LL : LL]
","[A : A : A]
","(Week 3b 2019, slide 13)Task 1: Arrays are faster since we can get to item 1000 in 1 step, whereas in a Linked List we must pass through 999 nodes to reach the 1000th node.Task 2: Lists are faster since it takes very few steps to update nodes, whereas in an Array we must shift every element after the insertion point to the right.Task 3: Lists are faster for similar reasons to Task 3, but shifting left instead of right.This implies the answer [A : LL : LL].
",
"Calculate given that . (Hint: Use the fact that [x^p= x mod p] when p is prime).
","a = 1.
","a = 3.
","a = 5.
","a = 7.
","a = 11.
","Using Fermat's Little Theorem (2019 week 11b, slide 12), we have that[x^p = x mod p] when p is prime. Noticing that 51 = 3 * 17, we let p = 17 (which is prime), and x = 7.Thus we obtain that 7^17= 7 mod 17.From which wee see that 7^51 = (7^17)^3 and so 7^51 = 7^3 mod 17 = 3 mod 13, and we are finished.
",
"What isDijkstra's algorithm?
","A sorting algorithm
","A shortest path algorithm
","A hashing algorithm
","An encryption algorithm
","A search algorithm
","(Purposefully not chosen a topic to not give answer away)
","andrewwardle (atw38)
"
"What isDijkstra's algorithm?
","A sorting algorithm
","A shortest path algorithm
","A hashing algorithm
","An encryption algorithm
","A search algorithm
","(Purposefully not chosen a topic to not give answer away)
","andrewwardle (atw38)
"
"What would the result be when an in-order traversal is applied to the following tree? 15 / \ / \ / \ 9 13/ \ / \6 3 4 2
","15, 9, 6, 3, 13, 4, 2
","6, 9, 3, 15, 4, 13, 2
","15, 9, 13, 6, 3, 4, 2
","6, 3, 9, 4, 2, 13, 15
",,"A = Pre-order traversalB = In-order traversalC = Level order traversalD = Post-order traversal
",
"What is the worst case run time of insertion sort?
","?(N)
","?(N2)
","?(N!)
","?(logN)
",,"Source: 2019 Week 4a, Slide 16
",
"What other 2 algorithms does Hybrid sort ( timsort ) utilise in its implementation?
","Merge sort and insertion sort
","Insertion sort and Bubble sort
","Quicksort and Bitonic sort
","None of the above
",,"Timsort utilises insertion sort until a given treshold, where merge sort starts being faster and more efficient.
",
"Given the following hash table, using linear probing, where the hash function being used is ...0 1 2 3 4 5 6 7 8 9-------------------------------|5 |35| | | | | |42| | |-------------------------------...what would the state of the hash table be after inserting 32, 27 and then 6?
","0 1 2 3 4 5 6 7 8 9-------------------------------|5 |35|27|6 | | | |42| |32|-------------------------------
","0 1 2 3 4 5 6 7 8 9-------------------------------|5 |6 |27| | | | |32| | |-------------------------------
","0 1 2 3 4 5 6 7 8 9-------------------------------|5 |35|6 |27| | | |42|32| |-------------------------------
","0 1 2 3 4 5 6 7 8 9-------------------------------|5 |35|27|6 | | | |42|32| |-------------------------------
",,"Option A has been created simply by inserting 32 in the wrong position. Option B has been created by, when a collision occurs, replacing the value at the index computed by the hash function with the new value. Option C has been created by inserting 6 and 27 in the wrong order.
",
"Consider the following problem:Given an array of integers, find the maximum product of two integers in the array. For example, consider the array [ -10, -3, 5, 6 , -2 ]. The maximum product is formed by either the (-10, 3) or (5, 6) pair.What is the complexity of the most efficient algorithm that solves this problem?
","1
","n
","n(log(n))
","log(n)
","n2
","The answer is n.The most efficient algorithm traverses once through the array in order to find the 2 largest and 2 smallest (also smaller than 0) elements and compares the products.
",
"Which of the following would NOT be a solution to a hash collision when inserting into a hash table?
","Insert the element in the next available position in the hash table, found by searching linearly.
","Recalculate the hash of the element being inserted.
","Insert the element in thenext available position in the hash table, found by searching exponentially (i.e. by skipping increasing numbers of elements: 0, 1, 2, 4, 8, etc.).
","Instead of storing single elements at each position in the table, store lists of the elements that hashed to that position.
",,"B is not a valid approach because the hash of the element will not change when calculated again.
",
"Consider an unordered complete binary tree containing all letters from A to G. Knowing that a preorder traversal of the tree results in the sequence [ B, G, C, D, A, E, F ] and a postorder traversal results in the sequence [C, D, G, E, F, A, B ], what results from an inorder traversal?
","E, A, B, C, D, F, G
","A, B, C, D, E, F, G
","C, G, D, B, E, A, F
","C, B, D, G, A, E, F
","D, A, E, G, F, B, C
","We traverse by visiting the left subtree first, then the root, then the right subtree for each node of the tree, thus the inorder traversal is C, G, D, B, E, A, F.
",
"Which of the following COULD be a reason for choosing to use a skip list over a linked list?
","It needs to be possible to insert items whilst updating as few pointers as possible.
","There is limited space available in memory.
","Duplicate items need to be able to be stored.
","Inserting items so that they are already in sorted position once inserted needs to be as fast as possible.
",,"A. This is reversed - a skip list would require updating more pointers to insert an item than a (singly or doubly) linked list would.B. This is also reversed - skip lists use more memory than linked lists.C. This would not be a reason to use a skip list - skip lists likely disallow duplicate items, since they sort based on value, but even if they allowed them skip lists wouldn't offer an advantage here.D. Skip lists insert items in an already-sorted position in the list cheaply, which would be an expensive operation requiring many node and pointer accesses with a linked list.
",
"What is the maximum height of a perfectly balanced search tree of size n (2019 Lecture 8a slide 28)
","log(n)
","n
","n/2
","2/n
","n/2n
","The answer is log(n) because the number of nodes in a row is equal to 2x where x is the number of the row. Therefore the answer is log(n) as this is the inverse of 2x
",
"Consider a balanced AVL Tree as below: 5 / \ 3 6 \ 7This AVL Tree will attempt to balance itself whenever it become unbalanced using a rotation algorithm.If we insert the number 9 to the tree and then perform a post order traversal printing the values in the tree.What is the output?
","3 5 6 7 9
","3 6 9 7 5
","5 3 7 6 9
","3 5 9 7 6
",,"B is correct as the tree would look as below: 5 / \ 3 7 / \ 6 9A post order traversal on this tree produces the answer B.A is an in order traversal, C is a pre order traversal and D is a post order traversal on a different tree.
",
"Which of the following input arrays makes insertion sort in descending order perform the largest number of operations?
","(9, 8, 7, 6, 5, 4, 3)
","(6, 5, 3, 4, 8, 9, 7)
","(7, 6, 5, 9, 8, 3, 4)
","(3, 4, 5, 6, 7, 8, 9)
",,"A perfectly disordered arrayis the worst case since every round requires maximum comparisons & shifts. Since the array is being sorted in descending order, the array that would result in the most comparisons and shifts would be an array in ascending order.
",
"What is the maximum possible number of elements in a binary tree of depth 7?
","52
","255
","2047
","128
","127
","The number of nodes possible in a binary tree of depth d is 2d+1- 1(Week 7b, slide 11).27+1- 1 = 256 - 1 = 255
",
"How many different insertion sequences of the key values, using the hash function h(k)=k mod 10, will result in the closed hash table with linear probing given below?
","10
","20
","30
","40
","50
","The first key which is not at the index computed by hash function is 42. It means index 2 and 3 were already occupied and therefore, key 42 is placed at index 4.The keys 72 and 33 are present at index 2 and 3 respectively. As these keys are at their correct position, their order of insertion does not matter. These 2 keys can be inserted in 2! = 2 ways. Therefore, the sequence will be any order of (72, 33) followed by 42.The next key which is not at the index computed by hash function is 31. It means indexes 1 to 5 were already occupied and key 31 is placed at index 6. Therefore, it is the last key to be inserted into hash table.The keys 61 and 25 are each present at their correct position computed by the hash function. Therefore, they can be inserted at any place in the sequence before 31. The sequence excluding 31 has so far 3 elements (72, 33, 42), which create 4 positions for 61 (2 in-between and 2 corners). Now we have 4 elements in the sequence excluding 31, and so there 5 positions for 25 (3 in-between and 2 corners).Total number of ways is: 2*4*5 =40.
",
"What is the method forSelection Sort?
","?Find the smallest item in the list and swap it with the first. Repeat this with rest of unsorted list.
","In repeated passes, swap adjacent items until list is fully sorted.
","Recursively split the array into equal sections and combine as sorted.
","Choose an element as a pivot and put elements less than the pivot to the left and greater than to the right, repeat recursively to these sublists.
",,"A) Selection SortB) Bubble SortC) Merge SortD) Quick Sort
",
"An algorithm takes 1s for n = 200, 1000s for n = 2000 and 8000s for n = 4000.Which asymptotic complexity does it likely have?
","?(n2)
","?(n log n)
","?(n3)
","?(2n)
",,"n: 200 ? (x 10) ? 2000 ? (x 2) ? 4000Time: 1 ? (x1000) ? 1000 ? (x8) ? 8000n ? Timex10 ? x1000x2 ? x8Time = n3? ?(n3)
",
"Which one of the List has the quickest average run time for insert() if n >= 1000;
","Array List
","Singly Linked List
","Doubly Linked List
","Skip List
","All of them have the same time complexity of insert().
","The correct answer is C because the average run time for insert() for each List is:Array List =?(n)Singly Linked List =?(n)Doubly Linked List = ?(1)Skip List =?(log n)When n >= 100?(1) <?(log n) <?(n)
",
"Which of the following statements about sorting algorthms is false?
","Merge sort is always quicker (in terms of time complexity) than bubble sort.
","Merge sort can be slower than insertion sort in certain scenarios.
","Merge sort, selection sort and quick sort are all examples of divide and conqueralgorithms.
","Merge sort always has time complexity of O(n log n).
",,"Selection sort is not a divide and conquer algorthm, it is an in-place sorting algorithm.A is correct as merge sort is always O(n log n) as in D, whilst bubble sort is always O(n2).B is correct as when the list is already sorted insertion sort has a time complexity of O(n).
",
"When inserting a value into aBinary SearchTree, what is the worst case and average case time complexity?
","Worst case: O(n2)Average case: O(log n)
","Worst case: O(n2)Average case: O(n)
","Worst case: O(n)Average case: O(log n)
","Worst case: O(n log n)Average case: O(log n)
",,"To insert a value the algorithm must first search through the tree, a search is worst case O(n), average case O(log n). See D&A-Revision2.pptx pg. 35
",
"You have been hired by the Housing Opportunities of Northern Delaware Association to create a system which allows them to keep track of which addresses they currently have available. They have spent many decades supporting the people of the area in finding the perfect home, but have recently began to fall behind newer tech-based companies, and are determined to catch up and ensure they provide the highest quality service they can.The system is required to have the following qualities:- It must be quick to search for a given address, to find whether or not it is currently stored in the system, and to access its details. Speed is more important than space used, to ensure users are not left waiting for too long while the system runs.- It should be easy to add new addresses to the system as they become available, and to remove them once they are taken off the market.- The data does not need to be sorted, as employees personally work with each customer to recommend different homes, and so will be searching for entries directly.- You have only a rough estimate of how many addresses will need to be stored at a given time, and the number tends to vary by a large margin throughout the year due to seasonal buyers.Which data structure should you implement in the new system?
","A Linked List
","A Closed Hash Table
","An Open Hash Table
","An AVL Tree
","A Heap
","A Hash Table is the optimal data structure for the system. Linked Lists and Tree structures require you to search through a potentially large number of nodes to find a specific address, while hashing allows you to jump either straight to the required data or at least very close to it.Unlike a Closed Hash Table, Open Hash Tables are able to grow out linked lists as more data is added instead of simply filling up. Open Hashing also requires a much lower average number of steps to find any given piece of data.
",
"A �stack� data structure operates in a last in last out fashion.
","True
","False
","planation: A stack has only two operations (push and pop). Push adds an element to the stack, placing it at the top. Pop removes the top element. As such a stack operates as first in last out.
","gs: ADTs
",,,"jdl42 (jdl42)
"
"How many cases are there when we are removing a node from a binary search tree?
","2
","3
","4
","5
","6
","There are 3 cases:One node is a leafOne node has one childOne node has two children
",
"Which of the following data structures has a worst case space complexity of O(n log n)?
","AVL Tree
","Singly-Linked List
","Doubly-Linked List
","Skip List
","Hash Table
","Skip List - every other data structure has a O(n) space complexity. However, the skip list has a greater size because each new node added does not add a constant number of pointers, but rather an increasing number (think of the number of lanes and how it increases when more elements are added: more lanes = more pointers).
",
"Exponential time complexity is slower than factorial time complexity
","True
","False
","planation:
","gs: Search, Complexity
",,,"cm2259 (cm2259)
"
